,id,Mrs,Ms,Hc,Xhf,Q,Qeff,Hcr,site,hole,core,section,interval,top [cm],bottom [cm],lithology principal name,top depth csf-a (m)
107,U1451A070F1102,5.663136322103821e-07,4.153038327423628e-06,0.009962212520599367,2.151252402898821e-05,5.223164512352725,4.086228358218845,0.036135528361834576,U1451,A,70,1,10,0,57,calcareous clay,383.72
108,U1451A096F1065,7.666384695686548e-06,0.00031053406608290884,0.0025690487346401447,9.199687971862467e-05,6.375032431125162,5.91698092183691,0.022281192241197123,U1451,A,96,1,6,0,122,sand,506.85
109,U1451B003x3016,1.606902048924354e-05,0.00013056985502789525,0.011448390038645728,0.0006931827514395936,6.113745519157939,4.643307995234564,0.03420974231541635,U1451,B,3,3,1,0,136,clay,
110,U1451B019R1093,5.726017247170275e-07,5.218124456641597e-06,0.012059720486684022,2.084910665844292e-05,5.402564766040809,4.412982558793726,0.04244346779206018,U1451,B,19,1,9,0,149,silt,685.93
111,U1451B019R1093,5.726017247170275e-07,5.218124456641597e-06,0.012059720486684022,2.084910665844292e-05,5.402564766040809,4.412982558793726,0.04244346779206018,U1451,B,19,1,9,0,149,silt,685.93
112,U1451B021R1056,3.899915412791167e-07,2.299860843687413e-06,0.017822612977205998,2.5615805929019194e-05,5.311526853825204,3.6407169365515606,0.04929952233525161,U1451,B,21,1,5,0,18,clay,705.16
113,U1451B021R1056,3.899915412791167e-07,2.299860843687413e-06,0.017822612977205998,2.5615805929019194e-05,5.311526853825204,3.6407169365515606,0.04929952233525161,U1451,B,21,1,5,0,18,clay,705.16
114,U1452B001H1075,1.2091689469592683e-07,6.544071412612694e-07,0.011224183539154664,5.603421704786378e-06,3.5539961550189587,1.9890090902223916,0.02990291271031136,U1452,B,1,1,7,0,150,calcareous clay,
115,U1452B001H1075,4.6113531252888295e-08,6.546971661484035e-07,0.012423221484454627,5.597660188521134e-06,3.1556469669147056,1.6017409937033176,0.02990291271031136,U1452,B,1,1,7,0,150,calcareous clay,
116,U1452B001H6030,5.526714323588022e-07,3.0482423935179063e-06,0.01466977311809491,1.854448186533e-05,4.575671634182233,3.2865960991027894,0.03776775933716624,U1452,B,1,6,3,0,35,calcareous clay,
117,U1452B003H5010,1.0293801835887176e-06,4.0645163815948634e-06,0.011004273331751357,2.511654963027329e-05,5.432323173015598,4.126844454841,0.05444697618821296,U1452,B,3,5,1,0,69,silt,
118,U1452B010F3009,5.692437640581204e-07,2.950322640916578e-06,0.015504597912141649,2.31993955076779e-05,4.397217688300876,2.892267771449612,0.048430600020998915,U1452,B,10,3,0,0,88,clay,
119,U1452B010F3054,1.3607279960837233e-06,1.785642679637761e-05,0.004904962324224882,1.8420633840447542e-05,5.667539419417319,5.253081917144328,0.03830512112966428,U1452,B,10,3,5,0,88,clay,
120,U1452B026F1115,3.630547402261368e-05,0.00014613962873330033,0.017256462064530798,0.0007423554492999583,6.1777221416248835,4.852926416423494,0.05349091986381434,U1452,B,26,1,11,6,21,sand,134.05
121,U1452B026F2067,2.3825808588249325e-05,6.13804675620148e-05,0.03930423231706903,0.0007425725222824003,6.077835482252825,4.001546859863824,0.08476849488189994,U1452,B,26,2,6,0,88,calcareous clay,134.87
122,U1452B028F1137,3.7889208655861386e-07,1.6714782557628137e-06,0.011630272867461655,2.453334676634557e-05,4.918247693286513,3.0658922914399644,0.04536041198567065,U1452,B,28,1,13,0,27,silt,
123,U1452B028F2024,1.721471039800074e-05,6.375393471731077e-05,0.020848141988199176,0.0007304604449138857,6.090186268655497,3.992075681101722,0.04927403621884734,U1452,B,28,2,2,0,15,clay,144.14
